ISO,Country Name,Region,Disaster Type,Disaster Subgroup,Disaster_Count
CHE,Switzerland,Europe,Mass Movement,Hydrological,4
THA,Thailand,Asia,Earthquake,Geophysical,4
SWZ,Swaziland,Africa,Storm,Meteorological,4
NIC,Nicaragua,South America,Drought,Climatological,4
SDN,Sudan,Africa,Drought,Climatological,4
NOR,Norway,Europe,Flood,Hydrological,4
SLV,El Salvador,South America,Drought,Climatological,4
ALB,Albania,Europe,Earthquake,Geophysical,4
SLB,Solomon Is.,Oceania,Earthquake,Geophysical,4
HTI,Haiti,South America,Earthquake,Geophysical,4
BOL,Bolivia,South America,Extreme Temperature,Meteorological,4
NOR,Norway,Europe,Storm,Meteorological,4
SEN,Senegal,Africa,Drought,Climatological,4
SUR,Suriname,South America,Flood,Hydrological,4
LUX,Luxembourg,Europe,Extreme Temperature,Meteorological,4
SYR,Syria,Asia,Drought,Climatological,4
ZMB,Zambia,Africa,Drought,Climatological,4
ALB,Albania,Europe,Storm,Meteorological,4
SWE,Sweden,Europe,Extreme Temperature,Meteorological,4
SWZ,Swaziland,Africa,Drought,Climatological,4
MHL,Marshall Is.,Oceania,Drought,Climatological,4
GAB,Gabon,Africa,Storm,Meteorological,4
LKA,Sri Lanka,Asia,Mass Movement,Hydrological,4
MNE,Montenegro,Europe,Extreme Temperature,Meteorological,4
NIC,Nicaragua,South America,Epidemic,Biological,4
ITA,Italy,Europe,Mass Movement,Hydrological,4
MDA,Moldova,Europe,Flood,Hydrological,4
ISR,Israel,Asia,Wildfire,Climatological,4
PNG,Papua New Guinea,Oceania,Storm,Meteorological,4
PER,Peru,South America,Volcanic Activity,Geophysical,4
URY,Uruguay,South America,Extreme Temperature,Meteorological,4
VNM,Vietnam,Asia,Epidemic,Biological,4
PHL,Philippines,Asia,Drought,Climatological,4
PER,Peru,South America,Storm,Meteorological,4
ISR,Israel,Asia,Storm,Meteorological,4
EGY,Egypt,Africa,Storm,Meteorological,4
MNP,N. Mariana Is.,Oceania,Storm,Meteorological,4
GNB,Guinea-Bissau,Africa,Flood,Hydrological,4
KHM,Cambodia,Asia,Drought,Climatological,4
MYS,Malaysia,Asia,Epidemic,Biological,4
GRD,Grenada,South America,Storm,Meteorological,4
IRQ,Iraq,Asia,Epidemic,Biological,4
COL,Colombia,South America,Epidemic,Biological,4
JPN,Japan,Asia,Mass Movement,Hydrological,4
GTM,Guatemala,South America,Extreme Temperature,Meteorological,4
CHL,Chile,South America,Volcanic Activity,Geophysical,4
COM,Comoros,Africa,Epidemic,Biological,4
CRI,Costa Rica,South America,Earthquake,Geophysical,4
GTM,Guatemala,South America,Epidemic,Biological,4
KOR,South Korea,Asia,Extreme Temperature,Meteorological,4
MNE,Montenegro,Europe,Flood,Hydrological,4
DZA,Algeria,Africa,Wildfire,Climatological,4
DJI,Djibouti,Africa,Flood,Hydrological,3
CRI,Costa Rica,South America,Epidemic,Biological,3
BWA,Botswana,Africa,Drought,Climatological,3
FIN,Finland,Europe,Extreme Temperature,Meteorological,3
SDN,Sudan,Africa,Storm,Meteorological,3
COL,Colombia,South America,Wildfire,Climatological,3
BTN,Bhutan,Asia,Earthquake,Geophysical,3
COM,Comoros,Africa,Volcanic Activity,Geophysical,3
MYS,Malaysia,Asia,Mass Movement,Hydrological,3
CPV,Cape Verde,Africa,Drought,Climatological,3
BTN,Bhutan,Asia,Flood,Hydrological,3
COK,Cook Is.,Oceania,Storm,Meteorological,3
PLW,Palau,Oceania,Storm,Meteorological,3
NPL,Nepal,Asia,Drought,Climatological,3
RUS,Russia,Europe,Drought,Climatological,3
DNK,Denmark,Europe,Extreme Temperature,Meteorological,3
PRY,Paraguay,South America,Extreme Temperature,Meteorological,3
CUB,Cuba,South America,Drought,Climatological,3
CHN,China,Asia,Epidemic,Biological,3
CHN,China,Asia,Mass Movement,Geophysical,3
PAN,Panama,South America,Drought,Climatological,3
EST,Estonia,Europe,Storm,Meteorological,3
CMR,Cameroon,Africa,Drought,Climatological,3
PRK,North Korea,Asia,Drought,Climatological,3
MKD,Macedonia,Europe,Wildfire,Climatological,3
COD,Dem. Rep. Congo,Africa,Earthquake,Geophysical,3
PER,Peru,South America,Drought,Climatological,3
CPV,Cape Verde,Africa,Flood,Hydrological,3
COD,Dem. Rep. Congo,Africa,Wildfire,Climatological,3
CYP,Cyprus,Asia,Wildfire,Climatological,3
SAU,Saudi Arabia,Asia,Epidemic,Biological,3
PSE,Palestine,Asia,Flood,Hydrological,3
MTQ,Martinique,South America,Storm,Meteorological,3
DZA,Algeria,Africa,Extreme Temperature,Meteorological,3
LBY,Libya,Africa,Flood,Hydrological,3
NOR,Norway,Europe,Extreme Temperature,Meteorological,3
AUS,Australia,Oceania,Drought,Climatological,3
THA,Thailand,Asia,Extreme Temperature,Meteorological,3
LAO,Lao PDR,Asia,Epidemic,Biological,3
TJK,Tajikistan,Asia,Epidemic,Biological,3
TJK,Tajikistan,Asia,Extreme Temperature,Meteorological,3
ISR,Israel,Asia,Flood,Hydrological,3
VEN,Venezuela,South America,Mass Movement,Hydrological,3
VCT,St. Vin. and Gren.,South America,Flood,Hydrological,3
TLS,Timor-Leste,Asia,Epidemic,Biological,3
UZB,Uzbekistan,Asia,Flood,Hydrological,3
ITA,Italy,Europe,Wildfire,Climatological,3
USA,United States,North America,Mass Movement,Hydrological,3
ATG,Antigua and Barb.,South America,Storm,Meteorological,3
GLP,Guadeloupe,South America,Storm,Meteorological,3
ISL,Iceland,Europe,Earthquake,Geophysical,3
URY,Uruguay,South America,Drought,Climatological,3
GMB,Gambia,Africa,Drought,Climatological,3
KGZ,Kyrgyzstan,Asia,Extreme Temperature,Meteorological,3
MDA,Moldova,Europe,Extreme Temperature,Meteorological,3
KGZ,Kyrgyzstan,Asia,Epidemic,Biological,3
BDI,Burundi,Africa,Mass Movement,Hydrological,3
AZE,Azerbaijan,Asia,Flood,Hydrological,3
AUS,Australia,Oceania,Extreme Temperature,Meteorological,3
GNB,Guinea-Bissau,Africa,Epidemic,Biological,3
TZA,Tanzania,Africa,Mass Movement,Hydrological,3
JPN,Japan,Asia,Volcanic Activity,Geophysical,3
AZE,Azerbaijan,Asia,Earthquake,Geophysical,3
VIR,U.S. Virgin Is.,South America,Storm,Meteorological,3
JPN,Japan,Asia,Wildfire,Climatological,3
IRQ,Iraq,Asia,Storm,Meteorological,3
MAC,Macao,Asia,Storm,Meteorological,3
ARE,United Arab Emirates,Asia,Flood,Hydrological,3
IND,India,Asia,Glacial Flood,Climatological,3
ARG,Argentina,South America,Volcanic Activity,Geophysical,3
BOL,Bolivia,South America,Storm,Meteorological,3
YEM,Yemen,Asia,Mass Movement,Hydrological,3
HRV,Croatia,Europe,Storm,Meteorological,3
IRL,Ireland,Europe,Extreme Temperature,Meteorological,3
SWZ,Swaziland,Africa,Flood,Hydrological,3
MAR,Morocco,Africa,Storm,Meteorological,3
ARG,Argentina,South America,Mass Movement,Hydrological,3
HTI,Haiti,South America,Drought,Climatological,3
VUT,Vanuatu,Oceania,Earthquake,Geophysical,3
LCA,St. Lucia,South America,Flood,Hydrological,3
GTM,Guatemala,South America,Wildfire,Climatological,3
MDA,Moldova,Europe,Drought,Climatological,3
IDN,Indonesia,Asia,Drought,Climatological,3
SYR,Syria,Asia,Earthquake,Geophysical,3
SSD,S. Sudan,Africa,Drought,Climatological,3
COM,Comoros,Africa,Flood,Hydrological,2
UKR,Ukraine,Europe,Wildfire,Climatological,2
NOR,Norway,Europe,Mass Movement,Hydrological,2
ZAF,South Africa,Africa,Extreme Temperature,Meteorological,2
NPL,Nepal,Asia,Glacial Flood,Climatological,2
CYP,Cyprus,Asia,Storm,Meteorological,2
PER,Peru,South America,Wildfire,Climatological,2
ZAF,South Africa,Africa,Earthquake,Geophysical,2
ASM,American Samoa,Oceania,Storm,Meteorological,2
USA,United States,North America,Epidemic,Biological,2
ARM,Armenia,Asia,Flood,Hydrological,2
CPV,Cape Verde,Africa,Epidemic,Biological,2
ARG,Argentina,South America,Earthquake,Geophysical,2
VUT,Vanuatu,Oceania,Flood,Hydrological,2
CRI,Costa Rica,South America,Drought,Climatological,2
AUS,Australia,Oceania,Infestation,Biological,2
PAN,Panama,South America,Epidemic,Biological,2
VGB,British Virgin Is.,South America,Storm,Meteorological,2
SLV,El Salvador,South America,Volcanic Activity,Geophysical,2
AUT,Austria,Europe,Mass Movement,Hydrological,2
COL,Colombia,South America,Drought,Climatological,2
BIH,Bosnia and Herz.,Europe,Storm,Meteorological,2
CAF,Central African Rep.,Africa,Wildfire,Climatological,2
RWA,Rwanda,Africa,Earthquake,Geophysical,2
BWA,Botswana,Africa,Storm,Meteorological,2
SYC,Seychelles,Africa,Storm,Meteorological,2
RWA,Rwanda,Africa,Storm,Meteorological,2
SYC,Seychelles,Africa,Epidemic,Biological,2
BWA,Botswana,Africa,Epidemic,Biological,2
BLR,Belarus,Europe,Flood,Hydrological,2
STP,São Tomé and Principe,Africa,Epidemic,Biological,2
SDN,Sudan,Africa,Infestation,Biological,2
BLZ,Belize,South America,Flood,Hydrological,2
SRB,Serbia,Europe,Storm,Meteorological,2
BMU,Bermuda,North America,Storm,Meteorological,2
SGP,Singapore,Asia,Epidemic,Biological,2
SLB,Solomon Is.,Oceania,Epidemic,Biological,2
SLE,Sierra Leone,Africa,Mass Movement,Hydrological,2
SLE,Sierra Leone,Africa,Wildfire,Climatological,2
BRA,Brazil,South America,Extreme Temperature,Meteorological,2
CAN,Canada,North America,Epidemic,Biological,2
BIH,Bosnia and Herz.,Europe,Epidemic,Biological,2
BIH,Bosnia and Herz.,Europe,Drought,Climatological,2
TUN,Tunisia,Africa,Wildfire,Climatological,2
TZA,Tanzania,Africa,Infestation,Biological,2
COD,Dem. Rep. Congo,Africa,Volcanic Activity,Geophysical,2
PRI,Puerto Rico,South America,Earthquake,Geophysical,2
PRT,Portugal,Europe,Drought,Climatological,2
CIV,Côte d'Ivoire,Africa,Mass Movement,Hydrological,2
TUV,Tuvalu,Oceania,Storm,Meteorological,2
TUV,Tuvalu,Oceania,Drought,Climatological,2
BEN,Benin,Africa,Storm,Meteorological,2
TTO,Trinidad and Tobago,South America,Storm,Meteorological,2
